City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Weather Conditions
43,Punta Arenas,-53.15,-70.9167,42.91,70,0,12.26,CL,2021-06-06 19:44:15,clear sky
44,General Roca,-39.0333,-67.5833,55.8,39,100,11.83,AR,2021-06-06 19:42:43,overcast clouds
45,Upernavik,72.7868,-56.1549,37.62,85,62,2.68,GL,2021-06-06 19:45:55,broken clouds
46,Torbay,47.6666,-52.7314,45.88,88,90,20.71,CA,2021-06-06 19:45:55,overcast clouds
47,Mount Isa,-20.7333,139.5,44.37,65,0,1.14,AU,2021-06-06 19:45:56,clear sky
48,Pangnirtung,66.1451,-65.7125,41.0,70,75,10.36,CA,2021-06-06 19:45:56,broken clouds
49,Nakonde,-9.3421,32.745,52.02,96,12,6.93,ZM,2021-06-06 19:45:56,few clouds
50,Guerrero Negro,27.9769,-114.0611,72.81,53,84,12.95,MX,2021-06-06 19:45:57,broken clouds
51,Inhambane,-23.865,35.3833,66.18,72,20,7.0,MZ,2021-06-06 19:45:57,light rain
52,Zwedru,6.0667,-8.1281,74.03,96,43,5.59,LR,2021-06-06 19:45:58,scattered clouds
53,Ust-Nera,64.5667,143.2,59.18,76,100,5.66,RU,2021-06-06 19:45:58,overcast clouds
54,Saint-Philippe,-21.3585,55.7679,69.35,85,70,12.68,RE,2021-06-06 19:45:58,light rain
55,Hilo,19.7297,-155.09,81.28,68,90,3.44,US,2021-06-06 19:45:59,light rain
56,Lavrentiya,65.5833,-171.0,35.04,81,99,5.03,RU,2021-06-06 19:41:52,overcast clouds
57,Georgetown,5.4112,100.3354,80.53,88,20,3.0,MY,2021-06-06 19:41:55,few clouds
58,Nong Kung Si,16.65,103.3,82.56,89,100,6.2,TH,2021-06-06 19:45:59,overcast clouds
59,Eydhafushi,5.1033,73.0708,82.83,76,100,15.43,MV,2021-06-06 19:46:00,overcast clouds
60,Jijiga,9.35,42.8,65.52,71,72,9.4,ET,2021-06-06 19:46:00,broken clouds
61,Sept-Iles,50.2001,-66.3821,59.52,67,75,5.01,CA,2021-06-06 19:44:41,broken clouds
62,Mataura,-46.1927,168.8643,43.38,87,88,2.24,NZ,2021-06-06 19:46:01,overcast clouds
63,Mandurah,-32.55,115.7,50.99,77,28,12.62,AU,2021-06-06 19:46:01,scattered clouds
64,Codrington,-38.2667,141.9667,55.99,65,100,19.66,AU,2021-06-06 19:46:02,overcast clouds
65,Khatanga,71.9667,102.5,32.61,94,97,5.48,RU,2021-06-06 19:46:02,overcast clouds
66,Ilulissat,69.2167,-51.1,42.82,70,94,4.61,GL,2021-06-06 19:46:02,overcast clouds
67,Bluff,-46.6,168.3333,46.9,84,76,9.33,NZ,2021-06-06 19:46:03,broken clouds
