City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
242,Rundu,NA,2021-06-06 16:02:41,-17.9333,19.7667,65.73,32,2,6.26
243,Smolensk,RU,2021-06-06 16:02:41,55.0,33.0,63.7,86,52,6.29
244,Pangkalanbuun,ID,2021-06-06 16:02:41,-2.6833,111.6167,75.0,97,79,0.51
245,Ponta Do Sol,PT,2021-06-06 16:02:42,32.6667,-17.1,74.71,69,0,2.57
246,Santa Marta,CO,2021-06-06 16:02:42,11.2408,-74.199,90.34,77,100,5.12
247,Riverton,US,2021-06-06 16:01:01,40.5219,-111.9391,80.8,30,1,1.01
248,Alofi,NU,2021-06-06 16:02:43,-19.0595,-169.9187,75.56,64,90,13.67
249,Cabo San Lucas,MX,2021-06-06 16:02:43,22.8909,-109.9124,97.81,51,43,5.01
250,Boditi,ET,2021-06-06 16:02:43,6.9667,37.8667,61.18,80,96,7.36
251,Atasu,KZ,2021-06-06 16:02:44,48.6814,71.6433,63.37,31,88,10.71
252,Arcachon,FR,2021-06-06 16:02:44,44.5875,-1.0519,80.42,49,0,16.11
253,Sidi Ali,DZ,2021-06-06 16:02:44,36.0998,0.4206,71.87,59,0,10.8
254,Srednekolymsk,RU,2021-06-06 16:02:45,67.45,153.6833,58.66,49,45,9.17
255,Taunggyi,MM,2021-06-06 16:02:45,20.7833,97.0333,66.22,89,14,3.22
256,Tynda,RU,2021-06-06 16:02:45,55.1667,124.7167,56.37,62,41,3.24
257,El Naranjo,MX,2021-06-06 16:02:46,21.4667,-98.6,89.15,58,78,4.0
258,Ambulu,ID,2021-06-06 16:02:46,-8.345,113.6058,76.33,91,80,1.01
259,Sovetskiy,RU,2021-06-06 16:02:46,61.3614,63.5842,63.84,31,69,8.9
260,Anadyr,RU,2021-06-06 15:58:32,64.75,177.4833,43.3,65,20,4.0
261,Husavik,IS,2021-06-06 16:02:47,66.0449,-17.3389,53.76,60,65,10.65
262,Latung,PH,2021-06-06 16:02:47,5.5,120.8833,83.95,71,90,4.34
263,Olhao,PT,2021-06-06 16:02:48,37.0286,-7.8411,75.09,46,0,12.08
264,Aswan,EG,2021-06-06 16:02:48,24.0934,32.907,98.2,10,0,14.61
265,Bardiyah,LY,2021-06-06 16:02:48,31.7561,25.0865,73.94,59,0,15.39
266,Paracuru,BR,2021-06-06 16:02:49,-3.41,-39.0306,87.82,58,36,11.16
267,Barraute,CA,2021-06-06 16:02:49,48.4335,-77.6328,74.17,65,77,7.14
268,Yulara,AU,2021-06-06 16:02:50,-25.2406,130.9889,49.87,50,0,5.82
269,Hami,CN,2021-06-06 16:02:50,42.8,93.45,71.76,12,28,16.35
270,Assen,NL,2021-06-06 16:02:50,52.9967,6.5625,66.85,83,90,5.99
271,Andenes,NO,2021-06-06 16:02:51,69.3143,16.1194,57.47,67,0,9.22
272,Santa Rosalia,MX,2021-06-06 16:02:51,27.3167,-112.2833,87.89,28,11,4.9
273,Aklavik,CA,2021-06-06 16:02:52,68.2191,-135.0107,34.52,67,89,6.58
274,Kroya,ID,2021-06-06 16:02:52,-7.6331,109.2461,75.2,86,53,0.78
275,Mehamn,NO,2021-06-06 16:02:53,71.0357,27.8492,40.95,70,75,6.91
276,Saint-Joseph,RE,2021-06-06 16:02:53,-21.3667,55.6167,71.98,84,70,11.01
277,Yeniseysk,RU,2021-06-06 16:02:53,58.4497,92.1703,51.91,77,97,1.86
278,Zhigansk,RU,2021-06-06 16:02:54,66.7697,123.3711,47.66,42,37,7.72
279,Constitucion,CL,2021-06-06 16:02:54,-35.3333,-72.4167,54.95,50,92,5.06
280,Torbay,CA,2021-06-06 16:02:54,47.6666,-52.7314,57.38,94,90,16.11
281,Horki,BY,2021-06-06 16:02:55,54.2861,30.9842,64.87,84,34,7.36
282,Kavaratti,IN,2021-06-06 16:02:55,10.5669,72.642,82.85,74,100,9.91
